Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Tibialis anterior (front of shin),Front of shin stretch,Stretch,B,"Runners, walkers, shin splints",Against wall,30 seconds,"1) Stand with your hands gently resting on a wall. 2) Cross your right foot in front of your left ankle (right calf contacting left shin). 3) The toes of your right foot should be pointing back behind you (top of your toes on the floor). 4) Bend both your knees, your back knee pushes your front knee forward and you should feel a stretch up the front of the right shin. 5) Hold for 20-30 seconds. 6) Repeat other leg.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Peroneals (outside lower leg),Outside lower leg stretch,Stretch,B,"Runners, walkers, shin splints",Chair,30 seconds,"To stretch the right side: 1) Sit in a chair with both feet on the ground. 2) Cross the right ankle over onto the left knee. 3) Take hold of the right foot with both hands and face the sole of the foot up towards the ceiling, you should feel a stretch up the outside of the lower leg. 4) Hold for 20-30 seconds. 5) Repeat on the leg and repeat again both sides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Achilles standing,Achilles stretch,Stretch,B,"Runners, walkers, flattened feet",Against wall,30 seconds,"1) Stand directly in front of a wall with elbows slightly bent and hands resting on the wall with your feet together. 2) Place your left foot a little in front of your right (half a foot) but still together. 3) Keeping your heels on the ground bend at both your knees, you should feel a stretch up the right Achilles and lower part of the calf. 4) Hold for 20-30 seconds and then change sides. 5) Repeat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Tibialis posterior eccentric strength,Strength for arch of foot and foot stabiliser,Strength,I,Flattened feet (over pronated),Step,10-20 seconds,1) Stand with the inside of your left foot on the edge of a step and your right foot just stabilising. 2) Gently drop the inside of your foot down the step and hold for 10-20 seconds. 3) Come out of the position and rest then repeat after 10-20 seconds. 4) Repeat both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Alfredson's  heel-drop protocol for Achilles tendinopathy - gastrocnemius,Alfredson's  rehabilitation method for Achilles tendinopathy,Strength / rehabilitation,I/A,Achilles tendinopathy,Step,6 minutes,"1) Stand on a small step or ledge with one leg flexed behind and the other on the ledge with leg straight on tip toes. 2) Hold onto a wall in front to assist your leg coming up from each exercise. 3) Lower your foot down on the ledge to level with the ledge (not below) and then come up using the wall or other leg to help. 3) Repeat 15 times. 4) Repeat with the knee flexed to 45 degrees.(* See related exercises - Alfredson's Soleus).  5) Repeat on the other leg if affected. 5) 3 sets each leg. 6) 2 times daily, 7 days a week for 12 weeks. *Note - There may be discomfort associated with this exercise, please contact your practitioner if you need further assistance.",355a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355a,Alfredson's heel-drop protocol for Achilles tendinopathy - soleus,Alfredson's  rehabilitation method for Achilles tendinopathy,Strength / rehabilitation,I/A,Achilles tendinopathy,Step,6 minutes,"1) Stand on a small step or ledge with one leg flexed behind and the other on the ledge with leg straight on tip toes* See Alfredson's gastrocnemius for picture. 2) Hold onto a wall in front to assist your leg coming up from each exercise. 3) Lower your foot down on the ledge to level with the ledge (not below) and then come up using the wall or other leg to help. 3) Repeat 15 times. 4) Repeat with the knee flexed to 45 degrees.  5) Repeat on the other leg if affected. 5) 3 sets each leg. 6) 2 times daily, 7 days a week for 12 weeks. *Note - There may be discomfort associated with this exercise, please contact your practitioner if you need further assistance. (See related exercises)",355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Dorsi flexion / plantar flexion,Strength for ankle / leg using resistance band,Strength / Resistance Band,I,"Post ankle / leg injury, walkers, runners","Chair, Resistance Band",60 seconds,1) Sit on a chair or table so that your legs are dangling without touching the floor. 2) Place a resistance band around the ball of your foot and hold onto either end with firm resistance. 3) Point your toes down to the ground and then back to resting position. 4) Repeat 10-12 times. 5) Repeat on the other leg if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,Resisted eversion,Strength for outside lower leg muscles,Strength / Resistance Band,I,"Post ankle / leg injury, shin splints, ","Chair, Resistance Band",60 seconds,1) Sit on a chair or table so that your legs are dangling without touching the floor. 2) Place a resistance band around the ball of your foot and hold onto either end with firm resistance with the sole of your foot facing towards your other leg 3) Try to turn the sole of your foot away from your other leg and then back to resting position. 4) Repeat 10-12 times. 5) Repeat on the other leg if needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Ankle rotations,Ankle rotations,Mobilisation,B,Post ankle / leg injury,Chair,60 seconds,1) Sit on a chair or table so that your legs are dangling without touching the floor. 2) Move your right ankle around in a clockwise direction trying to localise the movement to your ankle (try not to let the hip and knee move too much). 3) Make the movements as large as possible in a pain free range. 4) Repeat 10 times in both directions. 5) Repeat other ankle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Ankle alphabet,Ankle alphabet,Mobilisation,B,Post ankle / leg injury,Chair,60 seconds,"1) Sit on a chair or table so that your legs are dangling without touching the floor. 2) Imagine you are writing the alphabet with your foot,  continue slowly and in a controlled manner (try not to let the hip and knee move too much). 3) Make the movements as large as possible in a pain free range. 4) Repeat other ankle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
