Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
201,Biceps and brachialis stretch against wall,Biceps - upper arm stretch (front),Stretch,B,"Tight shoulder, biceps strain, weight trainers",,30 seconds,To stretch your left side: 1) Stand side on to a wall (with your left side closest). 2) Reach your left arm out behind you onto the wall with your elbow almost straight. 3) Gently step around to the right until your feel a good stretch through the front of your upper arm. 4) Hold for 20-30 seconds and repeat both sides.,
202,Triceps stretch,Triceps - upper arm stretch (back),Stretch,B,"Triceps train, weight trainers",Nil,30 seconds,To stretch your right side: 1) Bring your right arm up above your head and bend your elbow. 2) With your left hand on your elbow pull it across to the left until you feel a stretch at the back of your upper arm. 3) Hold for 20-30 seconds. 4) Repeat both sides.,
203,Brachioradialis stretch,Forearm and elbow stretch ,Stretch,B,Tightness in forearm and upper arm,Nil,30 seconds,"To stretch your right brachioradialis: 1) Standing or sitting, hold you right arm out straight in front of you. 2) With your left hand pull down on your right so that your fingers are pointing down to the floor, you should feel a stretch through the top of your forearm. 3) In this position gently rotate your elbow around to the right and you should feel a stretch through the right muscle. 4) Hold for 20-30 seconds and repeat on the right and again both sides. ",
204,Triceps strengthening - basic,Triceps (back upper arm) strengthening,Stretch,B,Post triceps injury,Nil,30 seconds,To strengthen the left side be seated or standing: 1) Bend your left arm to about 90 degrees and with your right hand place it at the back of your forearm. 2) Try to straighten your left arm and resist this movement with your right hand. 3) Push for 3-5 seconds and repeat 5 times.,
205,Biceps strengthening - basic ,Biceps (front upper arm) strength,Stretch,B,Post biceps injury,Nil,30 seconds,To strengthen the left side be seated or standing: 1) Bend your left arm to about 90 degrees and with your right hand place it on the front of your forearm. 2) Try to bring your left hand towards your left shoulder and resist this movement with your right hand. 3) Push for 3-5 seconds and repeat 5 times.,
206,Biceps strengthening resistance band ,Biceps Resistance Band,Strength / Resistance Band,I,To improve strength / tone in biceps - upper arm,Resistance Band,45 seconds,"Standing on a length of resistance band under both feet. 1) Hold the resistance band in each hand, draw your shoulder blades down and activate core*. 2) Bend both elbows bringing your hands up to your shoulders. 3) Release, straightening out the elbows and bringing them back down to the starting position. 4) Repeat 10 times. (*See related exercises)","401, 402"
207,Triceps strengthening resistance band,Triceps Resistance Band,Strength / Resistance Band,I,To improve strength / tone in triceps - back upper arm,Resistance Band,45 seconds,"1) Tie the Resistance Band around a table leg with equal lengths on each side and stand facing the table. 2) Draw shoulder blades down, activate core* and start with elbow flexed holding onto the length of resistance band in each hand. 3) Straighten out your elbows (increasing resistance in the band). 4) Repeat 10 times. (*See related exercises)","401, 402"
208,Resisted elbow flexion,Elbow mobility flexing (bending),Mobilisation,B,"To improve mobility (movement) in the elbow, stiffness",Nil,45 seconds,To mobilise the right elbow seated or standing: 1) Bend the elbow to just before the point of stiffness / discomfort. 2) Place your left hand on the front of your right forearm. 3) Gently push your forearm into your right hand - attempting to flex / bend the elbow further. 4) Hold for 3-5 seconds. 5) Repeat 5 times.,
209,Resisted elbow extension,Elbow mobility extending (straightening),Mobilisation,B,"To improve mobility (movement) in the elbow, stiffness",Nil,45 seconds,To mobilise the right elbow seated or standing: 1) Extend / straighten the elbow to just before the point of stiffness / discomfort. 2) Place your left hand on the back of your right forearm. 3) Gently push your forearm into your right hand - attempting to straighten the elbow further. 4) Push for 3-5 seconds and repeat 5 times. ,
210,Forearm flexors standing / sitting,Forearm stretch (front),Stretch,B,"Golfer's elbow, tight forearms",Nil,30 seconds,To stretch the right side seated or standing: 1) Hold out your right arm straight palm up. 2) Pull your right hand backwards (fingers pointing down to the floor) with your left hand until you feel a stretch. 3) Hold for 20-30 seconds. 4) Repeat the other side.,
211,Forearm extensors,Forearm stretch (back),Stretch,B,"Tennis elbow, tight forearms",Nil,30 seconds,To stretch the right side seated or standing: 1) Hold out your right arm straight palm facing down. 2) Pull your right hand down to the floor with your left until you feel a stretch. 3) Hold for 20-30 seconds. 4) Repeat the other side.,
