Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Gluteus maximus stretch supine,Buttock stretch lying down,Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,1) Lying on your back. 2) Pull your left knee in towards your chest and slightly over to your right shoulder. 3) Hold your left arm out to the side. 4) Hold for 20-30 seconds. 5) Repeat twice both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Gluteus maximus stretch prone,Buttock stretch on the ground,Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,1) Come onto all fours on the floor. 2) Bring your left leg up under your chest with your knee bent so that your foot and lower leg is lying across the middle of your body. 3) Sit back over your leg and reach your arms forward (there should be a good stretch in your buttock). 4) Hold for 20-30 seconds. 5) Repeat twice both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Gluteus medius stretch,Hip abductor stretch (outer buttock),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,1) Lying on your back with your legs out straight. 2) Bend your left leg up and pull it over to the right leg with your right arm. 3) Keep your right arm on the floor out to your side. 4) Pull the leg across until you feel a stretch on the outside of your hip. 5) Hold for 20-30 seconds. 6) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,TFL stretch standing,Outer hip stretch standing,Stretch,B,"Runners, walkers, most sports, knee pain",Nil,30 seconds,"To stretch your left side: 1) Standing tall, engage your core*, step your right leg in front of your left leg. 2) Shunt your hips to the left and bring your left arm over the top your head so you are making a banana shape with your body. 3) Feel a stretch up the side of your left hip, hold for 20-30 seconds. 4) Repeat twice each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,TFL stretch seated,Outer hip stretch seated,Stretch,I,"Runners, walkers, most sports",Nil,30 seconds,1) Sit with your legs out straight. 2) Cross your right leg over your left so your right foot is over your left leg. 3) Pull your right knee into your chest until you feel a stretch up the side of the hip / buttock. 4) Hold for 20-30 seconds. 5) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Adductors,Inner thigh stretch,Stretch,B,"Runners, walkers, most sports, knee pain",Nil,30 seconds,1) Kneel down on the ground and bring your right leg out to the side with your knee straight. 2) Drop your right hip to the floor until your feel a stretch up the inner thigh. 3) Hold for 20-30 seconds. 4) Repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Hamstring stretch supine,Back of thigh stretch (lying on back),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,1) Lie on your back holding a towel or piece of strong resistance band. 2) Bend up your right knee and lift your leg placing the towel around your foot and holding onto each end with your hands. 3) Pull your right leg up in towards your chest until you feel a stretch up the back of your leg. 4) Hold for 20-30 seconds. 5) Repeat twice both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Hamstring stretch kneeling,Back of thigh stretch (kneeling),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,"1) Kneel on the ground - place a pillow under your left knee if you have sensitive knees. 2) Straighten out your right leg in front of you. 3) Keep your lumbar curve (concavity) and lean forward from your pelvis (not lower back). 3) Feel a stretch up the back of the leg, hold for 20-30 seconds. 4) Repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Hamstring stretch standing,Back of thigh stretch (standing),Stretch,B,"Runners, walkers, most sports, lower back pain",Nil,30 seconds,"1) Standing, straighten out your right leg with your heel on the ground. 2) Putting your weight on your left side bend your left knee and lean over your right leg until your feel a stretch up the back of your leg. 3) Hold for 20-30 seconds. 4) Repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Deep external rotators hip ,Deep hip muscles stretch,Stretch,I,"Runners, walkers, most sports",Nil,30 seconds,1) Lying on your back. 2) Pull your right  knee in towards your chest and slightly over to your left shoulder with your left hand. 3) Hold onto your lower right leg with your right hand .4) Hold for 20-30 seconds. 5) Gently pull your lower right leg over to your left side and resist with your right hand for 3-5 seconds. 6) Relax and repeat 3 times. 4) Repeat twice both sides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
