Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Gastrocnemius standing,Calf stretch / lower leg standing,Stretch,B,"Calf tightness, knee pain, runners, walkers, most sports",,30 seconds,"1) Stand in front of a wall with both hands resting at shoulder level on the wall. 2) Place your left leg in front taking most of your body weight on this leg. 3) Place the right leg stretched far out behind you keeping the knee straight and only putting the ball of the foot on the ground. 4) Slowly bend the left knee and move your pelvis forward towards the wall. 5) Keeping the right knee straight gently push the right heel downwards until you feel a mild stretch high up in the calf. 6) Hold for 20-30 seconds, repeat x2 each side
You can vary this stretch by rotating the heel out to the left of the toes 
and also to the right of the toes to feel the stretch in the outer and inner muscle fibres.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Soleus standing,Calf stretch / lower leg (deeper muscles),Stretch,B,"Calf tightness, knee pain, runners, walkers, most sports",,30 seconds,"1) Stand in front of a wall with both hands resting at shoulder level on the wall. 2) Place your right leg in front taking most of your body weight on this leg. 3) Place the left leg stretched far out behind you keeping the knee straight and only putting the ball of the foot on the ground. 4) Slowly bend the right knee and move your pelvis forward towards the wall. 5) Bend the left knee until you feel a stretch lower down in the calf (heel can lift off the ground) . 6) Hold for 20-30 seconds, repeat x2 each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Adductor magnus,Adductors / inner thigh,Stretch,B,"Tight inner thighs, runners, walkers, most sports",Nil,30 seconds,"To stretch the right side: 1) Kneel on the ground and bring your right leg out straight  to the side so that the inside of your right foot is contacting the ground. 2) Push your leg down towards the ground, you should feel a stretch on the upper inner thigh. 3) Hold for 20-30 seconds. 4) Repeat twice both sides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Gracilis against a wall,Adductors / inner thigh against wall,Stretch,B,"Tight inner thighs, runners, walkers, most sports",,30 seconds,1) Lie on the floor with your buttocks close to the wall and your legs up the wall. 2) Keeping your knees straight slowly slide your legs against the wall and down the side until you feel a stretch. 3) Hold for 20-30 seconds. 4) Repeat twice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Gracilis,Adductors / inner thigh,Stretch,I,"Tight inner thighs, runners, walkers, most sports",Nil,30 seconds,"1) Sit on the floor with both legs spread apart with your knees straight. 2) Tilt your pelvis forward which should increase the stretch. 3) Keep a small curve in your lumbar spine and lean forward gently to increase the stretch. 4) Hold for 20-30 seconds, repeat twice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Knee extensions,Quadriceps strengthening (frontal thigh muscles),Strength / Resistance band,I,"Strengthening the quads for knee instability / weakness, walkers, runners",Resistance Band,3 minutes,"1)Tie a Resistance Band around the leg of a chair or table that you will be sitting on and then to your ankle (make sure the stool / chair is tall enough so your feet do not hit the ground)
2)Sit up straight, slowly straighten your leg and then slowly flex back down, repeat 10 times both sides.
3)Repeat 3 sets with 20 or so seconds break between each set",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Knee flexions / hamstring curl,Hamstring strengthening (back thigh muscles),Strength / Resistance band,I,"Strengthening the hamstrings for knee instability / weakness, walkers, runners",Resistance Band,3 minutes,"1) Lie face down on a mat with a resistance band tied around the ankle and the opposing end tied to a table leg firmly. 2) Rest your forehead on your folded arms. 3) Try and keep a neutral spine* with pelvis stabilised - don't allow the lower back to over extend (keep it as still as possible). 4) Breathe in and as your breathe out bring your ankle towards your buttocks feeling the muscles in the back of the leg working. 5) Breathe in returning your leg back down. 6) Repeat 10 times, break for 20 or so seconds and repeat again 10 times. 7) Repeat other side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*308 - use 321 photo for this exercise,Knee extensions over foam roller / towel,Quadriceps strengthening (frontal thigh muscles),Mobilisation / Foam roller,B,"Strengthening the quads for knee instability / weakness, walkers, runners",Foam roller ,40 seconds,1) Lie on your back with a foam roller under your knees or sitting. 2) Gently and slowly straighten your right leg into full extension and then flex back down to the foam roller. 3) Repeat 10 times. 4) Repeat on the left side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,VMO strengthening supine,VMO - inner quadriceps strengthening,Strength,B,"Strengthening VMO helps weakness and knee instability, knee pain, runners, walkers who experience instability",Foam roller,60 seconds,"1)Sitting down on the floor with a rolled up towel / foam roller under 1 knee
2)Straighten out leg from this slightly flexed position (pushing back of knee into towel)
3)Hold this position for 5 seconds (feel VMO contract by pressing fingers into inner part of quad)
4)Repeat x 10
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Squatting with adductor stretch (advanced),Squat for extended period,Mobilisation / Strength,A,Hip mobility and leg strength,Nil,60 seconds,"1) Stand with your feet hip width apart, then take a step out to the side. 2) Your feet should be at a 45 degree angle. 3) Using your arms to balance, squat down fully and if possible trying to keep your feet flat on the floor. 4) Your elbows can be resting on your inner thighs and gently pushing out to increase the stretch in your inner thighs. 5) Try to hold for 30-60 seconds and build up to 2 minutes (there should be a strong stretch but no hip or knee pain).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
