Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Psoas stretch (hip flexor),Hip flexor stretch,Stretch,B,"Hip tightness, lower back pain",,30 seconds,"To stretch your right psoas (hip flexor): 1) Kneel down on the ground placing a pillow under your right knee if required and lunge your left leg out in front so that your knee is at a right angle (hold onto a chair for support if needed). 2) Keep your back in neutral spine (slight curve or concavity in your lower back) and keep your hips facing forward. 3) Lunge forward on your back leg, tucking your tailbone under (curling your pubic bone up towards the ceiling), you should feel a stretch up the front of your back leg (right). 4) Make sure your knee does not come over your ankle when you lunge forward. 5) Hold for 20-30 seconds and repeat twice each side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Piriformis stretch supine (deep buttock),Deep buttock stretch lying down,Stretch,I,"Hip tightness, lower back pain",Nil,30 seconds,To stretch the right piriformis: 1) Lie flat on your back with both knees bent up 2) Cross your right leg over your left leg so that your ankle is resting on your left thigh. 3) Reach your left arm around your left leg and your right arm through your right leg so that you interlace your hands around your left leg.  4) Pull your left leg up towards your chest until you feel a stretch in your right buttock and up the back of your thigh (try to keep your tailbone down on the floor - you will feel the stretch sooner than if you allow your tailbone to lift off the floor). 5) Hold for 20-30 seconds and repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Piriformis stretch seated (deep buttock),Deep buttock stretch seated,Stretch,B,"Hip tightness, lower back pain",,30 seconds,To stretch the left piriformis: 1) Sit towards the edge of a stable chair with both feet flat on the ground and knees at 90 degrees. 2) Cross your left leg over the other leg so that your ankle is resting on your right thigh. 3) Keep your back in neutral spine (slight curve or concavity in your lower back) and bend forward from your pelvis (not your lower back). 4) You should feel a stretch through your left buttock and up the back of the thigh. 5) Hold for 20-30 seconds and repeat twice each side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Gentle lower back flexion supine,Lower back mobility lying down 2,Mobilisation,B,Lower back pain / stiffness,Nil,45 seconds,"1) Start lying on your back with your knees bent up hip width and feet on the floor. 2) Breathe in and as you breathe out pull one knee up to chest and hold for 5 seconds breathing normally. 3) Lower your leg and repeat on the other side. 4) Keep that leg hugged in and then pull the other leg up so they are both hugged into the chest, hold for 10-20 seconds. 5) In this same position do gentle rolls side to side and then small circles with your knees to help mobilise the lumbar spine. 6) Lower each leg one at a time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*106 - use photo 401 for this exercise too,Pelvic Tilting Supine,Pelvic / lower back mobility lying down,Mobilisation,B,Lower back pain / stiffness,Swiss ball,60 seconds,"1) Start lying on your back with your knees bent up and feet on the floor. 2) Make sure your knees are aligned with your hips (hip distance apart) and your feet are aligned with your knees. 3) Imagine your spine is a chain of links, take a breath in and as you breathe out slowly roll your pelvis so you are curling your pubic bone up towards your chin and you are pressing each vertebra one at a time into the floor. 3) Breathe in as you rock your pubic bone down towards your feet you slowly lift each vertebra one at a time off the floor. 4) Repeat this 10 times (you shouldn't feel any pain).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Pelvic Tilting on a ball,Pelvic / lower back mobility on a ball,Mobilisation / Swiss ball,B,Lower back pain / stiffness,Swiss ball,60 seconds,"1) Sitting on a Swiss ball with feet firmly planted on the ground, draw your shoulders down the back of your ribcage and gently pull your belly button into your spine. 2) Rock your pelvis back and forth by tucking your tail bone under / curling your pubic bone up to the ceiling, trying to imagine each vertebra moving individually and then rolling your tail bone back / pubic bone down to the floor. 3) Movement is slow and controlled trying to maintain core activation (belly button to spine). 4) Repeat back and forth x10. 5) Then try moving pelvis side to side keeping your upper back and neck where they are. 6) Try doing circles with the pelvis rotating each way (clockwise/anti-clockwise).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Nil,2 minutes,"1) Kneel on the floor on all fours with hands under shoulders and knees positioned under the hips. 2) Find your neutral spine (slight curve or concavity is maintained in the lower back), keep head in line with the spine (looking to the floor). 3) Activate core*, draw shoulders down the back  4) Breathe in to prepare and while breathing out reach your right leg behind you (imagine you are creating a straight groove in the sand behind you, try to keep pelvis as stable as possible). 5) Breathe in as you return to the starting position placing weight back onto the knee. 6) Repeat 6 times on both sides. 7) Repeat using your arm - gliding up to shoulder height. *(see related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Prone alternating leg raise,Leg extension lying on a ball,Strength / Swiss ball,I,"Core weakness, lower back weakness",Swiss ball,90 seconds,"1) Lying on a Swiss ball with your abdomen on the ball with hands directly under shoulders, head in line with spine, toes contacting floor. 2) Activate core* and stabilise through pelvis, trying not to let your lower back dip. 3) Breathe in and as you breathe out raise one leg, return down as you breathe in. 4) Repeat other side. 5) Repeat 6-8 times each side. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Prone opposite arm and leg raise,Opposite arm ad leg raise on a ball,Strength / Swiss ball,I,"Core weakness, lower back weakness",Swiss ball,90 seconds,"1) Lying on a Swiss ball with your abdomen on the ball with hands directly under shoulders, head in line with spine, toes contacting floor. 2) Activate core* and stabilise through pelvis. 3) Breathe in and as you breathe out raise one leg and opposite arm simultaneously without arching your lower back. 4) Breathe out as you return and repeat the other side. 5) Repeat 6-8 times both sides. (*See related exercises)","401, 402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Clams - Gluteus medius,Hip abductor strength (glutes),Strength,B,Hip stabiliser weakness,Nil,2 minutes,"To strengthen your left side: 1) Lie on your right side with your hips and knees flexed so that your ankles are in line with your buttocks and all your joints are stacked (shoulder directly above shoulder and hip on hip - not rolling back or forth) 2) Rest your head in your right hand and rest your left arm where comfortable. 3) Activate your core, breathe in and as you breathe out lift your left knee but keeping your ankles contacting each other. 4) Breathe in as you lower your knee back down. 5) Breathe out and raise your knee again. 4) Repeat 8-10 times both sides.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overlapping Exercises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Quadratus lumborum,Lower back stretch,Stretch,I,"Lower back pain / stiffness, rib pain",Nil,30 seconds,"To stretch your left side: 1) Sit on the ground with your right leg out straight and your left leg bent in. 2) Twist your upper body so you are completely facing your bent left knee, hold onto the left knee with your right hand. 3) Reach your left arm up over your head towards your straight leg remembering to keep your body facing the bent knee. 4) You should feel a deep stretch in the left side of your lower back. 5) Hold the stretch for 20-30 seconds and with every breath as you breathe out try to reach a little further and increase the stretch. 6) Repeat the above steps for the other side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Spinal twist seated,Spinal twist seated,Mobilisation / Swiss Ball,B,Upper back stiffness,Swiss Ball ,60 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Bring your hands into a prayer position with thumbs gently resting on your sternum (in line with chin and nose). 4) Take a breath in and as you breathe out rotate to the right as far as comfortable keeping your nose in line with your thumbs and pelvis stable (the Swiss ball or head should not move, all the movement is in your upper back). 5) Breathe in as you return to the centre and breathe out as you repeat to the left. 6) Repeat 6-8 times both sides. (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Spinal twist standing,Spinal twist standing,Mobilisation,B,Upper back stiffness,Nil,60 seconds,"1) Start by standing with feet hip width apart. 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Bring your hands into a prayer position with thumbs gently resting on your sternum (in line with chin and nose). 4) Take a breath in and as you breathe out rotate to the right as far as comfortable keeping your nose in line with your thumbs and pelvis stable (your head and pelvis should not move, all the movement is in the upper back). 5) Breathe in as you return to the centre and breathe out as you repeat to the left. 6) Repeat 6-8 times both sides.  (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Thoracic foam roller opening ribcage,Upper back and chest opening,Mobilisation / Foam roller,B,"Postural strain, rounded shoulders, desk work",Foam roller,60 seconds,"1) Sit on the edge of your foam roller and carefully lie back onto it so that your head and pelvis are on it. 2) Find neutral spine* and activate core*, draw shoulder blades down back of ribcage. 3) Bring your arms out to the side and allow your ribs to drop on either side of the foam roller. 4) Hold this position taking big deep breaths in and out for 30 seconds to 1 minute or as long as comfortable.  (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Latissimus dorsi (ball),Side and back torso stretch on ball,Stretch / Swiss ball,I,Upper back tightness / strain,Swiss Ball,30 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Reach your left arm over the top of your head and with your other hand hold onto your left wrist to increase the stretch by pulling over to the right. 4) You should feel the stretch up the side of your ribcage. 5) Hold for 20-30 seconds then bring the arm across the front of the body pulling your wrist again and you will feel it further into your back - hold again for 20-30 seconds and repeat twice each side.  (*See 'neutral spine and core' under programs)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
