Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
1,Trapezius Stretch,Neck (traps) stretch,Stretch,B,"Neck pain, postural strain, desk work",Swiss Ball,30 seconds,To stretch your right upper trapezius (base of your neck/top of your shoulder): 1) Start seated and place your right hand palm up under your buttock (this will help to keep your shoulder anchored down) 2) Bring your left arm over the top of your head placing your hand on the side of your head. 3) Pull your head gently down to the left (left ear to left shoulder) - you should feel a gentle stretch up the right side of your neck 4) Make sure your head is facing directly forward and you are not rotating your head i.e.. chin sticking out. 5) Hold the stretch for 20-30 seconds and repeat twice each side.,
2,Levator Scapula Stretch,Neck stretch with rotation,Stretch,B,"Neck pain, postural strain, desk work",Swiss Ball,30 seconds,To stretch your right levator scapulae (back of your neck to upper back): 1) Start seated and place your right hand palm up under your buttock (this will help to keep your shoulder anchored down) 2) Bring your left arm over the top of your head placing your hand on the side of your head. 3) Gently rotate your head around and down towards your left armpit. 5) Pull your head gently down to the left  - you should feel a gentle stretch up the right side of your neck towards the back. 4) Hold the stretch for 20-30 seconds and repeat twice each side,
3,SCM Stretch ,Side of neck stretch (SCMs),Stretch,B,"Neck pain, postural strain, desk work",Swiss Ball,30 seconds,"To stretch your right SCM (right side of your neck): 1) Reach your left hand up to your right clavicle (collarbone) on the part closest to the sternum (breast bone) and gently fix down with your fingers during the stretch. 2) Rotate your head to the right just so that your chin is directly above your fingers fixing on the clavicle. 3) Now gently bend your head to the left so you are bringing your left ear to your left shoulder. 4) You should feel a stretch up the front of your neck slightly on the right, hold for 20-30 seconds. 5) Repeat twice each side.",
4, Suboccipitals Stretch,Base of head muscle stretch,Stretch,I,"Neck pain, postural strain, desk work, headaches",,60 seconds,1) Interlace your fingers behind your head so they are resting on the very base of your skull (not on your neck). 2) Tuck your chin into your neck and gently roll your head down just so you are looking towards the floor. 3) At the same time place an upward pressure on the base of your head - you should feel a stretch in the muscles between the top of your neck and base of your head. 4) Hold for 10 seconds and repeat 3-4 times.,
5,Cervical Erector Spinae Stretch,Neck stretch for back spinal muscles,Stretch,B,"Neck pain, postural strain, headaches",,30 seconds,1) Interlace your fingers behind your head so they are resting on the very base of your skull (not on your neck). 2) Tuck your chin into your neck and gently roll your head down just so you are looking towards the floor. 3) You should feel a comfortable stretch up the back of the neck. 4) Hold for 20-30 seconds and repeat twice (with a 10-20 second break),
6,Scalenes Stretch,Neck stretch for muscles at the front of neck,Stretch,I,"Neck pain, postural strain, headaches",Swiss Ball,30 seconds,To stretch the right scalenes: 1) Sit on your right hand palm up which helps to bring stabilise your shoulder down. 2) Gently take your head down to the left side by taking your left ear to you left shoulder. 3) Lift your chin slightly so you are looking up towards the ceiling - you should feel a stretch at the front of your neck. 4) Hold this stretch for 20-30 seconds and repeat twice both sides.,
7,Pectoralis Major Stretch,Pec stretch (front of shoulder),Stretch,B,"Postural strain, rounded shoulders, desk work",,30 seconds,"To stretch your left pectoralis major (front of your shoulder): 1) Stand perpendicular to a wall, about 2 feet away with your left side closest to the wall. 2) Place your left hand up on the wall so your elbow is bent and is slightly above shoulder height. 3) Turn your body around to the right keeping your left arm as it is. 4) You should feel a stretch through the front of your left shoulder and chest. 5) Hold for 20-30 seconds and repeat both sides twice",
8,Pectoralis Minor Stretch,Pec stretch 2 (front of shoulder),Stretch,B,"Postural strain, rounded shoulders, desk work",,30 seconds,"To stretch your left pectoralis minor (front of your shoulder): 1) Stand perpendicular to a wall, about 2 feet away with your left side closest to the wall. 2) Place your left hand up on the wall so your elbow is bent and is slightly above shoulder height, 3) Turn your body around to your right and bend your knees slightly keeping your left arm as it is. 4) You should feel a stretch through the front of your shoulder and chest. 5) Hold for 20-30 seconds. 6) Repeat twice each side.",
9,Chin tucks for Deep Cervical Flexors,Chin tucks ,Strength,B,Chin popping out / forward head carriage,Swiss Ball,60 seconds,1) Sitting straight with neutral spine* and shoulder blades drawn down back of ribcage. 2) Draw your chin into your neck without looking down or  flexing your neck - you will be creating a double chin and may feel a stretch up the back of your neck. 3) Hold for 5 seconds and repeat 5-10 times.  (*See related exercises),"401, 402"
10,Spinal roll downs,Roll downs against wall,Mobilisation,I,"Stiffness in the spine, asymmetry in the spine and ribcage",,2 minutes,"1) Standing against a wall with knees slightly flexed and arms relaxed by your sides. 2) Start with a neutral spine*, take a breath in, tuck your chin in and as you breathe out slowly start to roll down vertebra by vertebra from your neck through to your upper back and then lower back (your hands should dangle to just past your knees). 3) Breathe in at the bottom, breathe out and slowly roll back up vertebra by vertebra again (imagine your spine as a chain of links). 4) Repeat about 3-5 times.  (*See related exercises)","401, 402"
