PROGRAM,EXERCISES,DESCRIPTION
Hot 10 Exercises,"1, 7, 53, 73, 103, 274, 73, 271, 426, 413",
Top 10 Running,"7, 274, 255, 102, 313, 111, 262, 353, 301, 357",
Top 10 Walking,"7, 301, 302, 353, 73, 55, 274, 107, 103, 111",
Back and Core Strength Easy,"401, 402, 404, 406, 407, 408, 411, 411a, 416, 417, 428, 53",
Back and Core Strength Intermediate,"401, 402, 406, 409, 412, 413, 416a, 419, 421, 422, 425, 426, 426a, 429",
Back and Core Strength Advanced,"401, 402, 427, 406, 410, 412, 415, 418, 421a, 423a, 429, 425",
Overall Flexibility 15 minutes,"1, 2, 7, 10, 274, 270, 252, 404, 426, 428, 102, 216, 180, 178, 51",
Overall Flexibility 5 minutes,"1, 2, 7, 103, 274, 426, 428",
Top 10 Strength,"9, 53, 224, 406, 425, 111, 110, 413, 426, 418",
Back Strength and Mobility 15 minutes,"60, 53, 106, 101, 61, 402, 406, 407, 413, 426, 411",
Office Relief 5 minutes, "1, 2, 7, 11" ,"Try to get up for a 1 minute walk around every 40 minutes or so. 2) Relax your shoulders, do a few shoulder shrugs back and forth. Perform stretches 3 times daily."
Office Relief 10 minutes, "1, 2, 5, 7, 101, 216, 11, 107", "Try to get up for a 1 minute walk around every 40 minutes or so. 2) Relax your shoulders, do a few shoulder shrugs back and forth. Perform stretches 3 times daily."
Office Relief lunch time, "1, 2, 4, 5, 7, 11, 10, 101, 107, 57, 261", "Try to get up for a 1 minute walk around every 40 minutes or so. 2) Relax your shoulders, do a few shoulder shrugs back and forth."
Pregnancy,"403, 430, 431, 432, 411, 413, 426, 405, 404, 57, 103, 54, 1, 2, 7, 52, 411, 413, 9, 69, 59",
Core and Neutral Spine,"401, 402",
Pilates Program Easy,"401, 426, 407, 408, 416, 433, 404, 411, 413",
Pilates Program Internediate,"401, 426a, 409, 416a, 222, 419, 433, 421, 414, 424, 425",
Pilates Program Advanced,"401, 427, 410, 416a, 423a, 419, 433, 421a, 415, 424, 425",
