Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
151,Deltoid Stretch Anterior fibres,Front of shoulder stretch,Stretch,B,"Shoulder tightness, upper body weight trainers, runners",,30 seconds,To stretch the left anterior deltoid: 1) Stand with your left shoulder perpendicular to a wall so that you can have your left arm out straight against the wall and slightly below shoulder height. 2) Turn your body around to your right by stepping your feet around until you feel a stretch through the front of your shoulder. 3) Hold for 20-30 seconds. 4) Repeat twice each side.,
152,Deltoid Stretch Posterior fibres,Back of shoulder stretch,Stretch,B,"Shoulder tightness, upper body weight trainers, runners",Nil,30 seconds,To stretch the left posterior deltoid: 1) Stand relaxed and bring your left arm across the front of your body just below shoulder height. 2) Use your right arm to pull /anchor your left arm and to increase the stretch by pulling from above the elbow. 3) You should feel a stretch at the back of your shoulder. 4) Hold for 20-30 seconds and repeat twice each side.,
153,Supraspinatis,Rotator cuff shoulder 1,Stretch,B,"Shoulder tightness, rotator cuff tendinitis",Nil,30 seconds,"To stretch your right supraspinatis (top of shoulder blade): 1) Sitting or standing comfortably with shoulder blades down the back of your ribcage. 2) Bring your right arm behind your back and using your left arm holding onto your right, pull the right arm further behind your back until you feel a stretch at the top of the shoulder. 3) Hold for 20-30 seconds and repeat twice each side.",
154,Infraspinatus,Rotator cuff shoulder 2,Stretch,B,"Shoulder tightness, rotator cuff tendinitis",Nil,20 seconds,"1) Standing, draw your shoulder blades down the back of your ribcage and place your hands behind you back with your palms facing forward (flat against your back). 2) Activating your core* to protect your lower back, slowly roll forward so that your are flexed at the hips. 3) Allow your elbows to drop to the floor until you feel a stretch through the back of your shoulder blades. 4) Hold for 20 seconds and slowly roll back up and release your arms. 5) Repeat twice. (*See related exercises)","401, 402"
155,Teres minor,Rotator cuff shoulder 3,Stretch,I,"Shoulder tightness, rotator cuff tendinitis",,30 seconds,"To stretch the right teres minor (back of shoulder blade): 1) Lie on you right side with a small pillow or towel supporting your head. 2) Bring your right arm up to 90 degrees and your elbow will also be bent to 90 degrees and palm facing up to the ceiling. 3) Place a rolled up towel under your elbow. 4) With you left hand on your right wrist, push your right hand palm down towards the floor until you feel a stretch in the back of the shoulder blade. 4) Hold for 20-30 seconds. 4) Repeat twice both sides.",
156,Teres major ,Rotator cuff shoulder 4,Stretch,I,"Shoulder tightness, rotator cuff tendinitis",Nil,30 seconds,"To stretch right side standing: 1) Stand with shoulders relaxed and bring your right arm over the top of your head and slightly behind, holding onto your right wrist with your left hand. 2) Pull your right arm over the top of your head with your left hand until you feel a stretch on the outside of the shoulder blade (this will stretch lats as well). 3) Be careful not to strain your neck forward while you hold for 20-30 seconds. 4) Repeat on the left side.",
157,Subscapularis,Rotator cuff shoulder 5,Stretch,I,"Shoulder tightness, rotator cuff tendinitis, desk work, rounded shoulders",Nil,30 seconds,"To stretch your right Subscapularis (behind shoulder blade): 1) Standing bring your right arm out straight in front of you and then slightly towards the midline of your body and bend your elbow to 90 degrees, palm facing to your left. 2) Wrap your left arm under your right, so that your left elbow is also bent at a right angle and the palm of your left hand is now facing your right hand palm. 3) Using your left hand on your right, push your right arm down to the right so that both your hands move to the right until you feel a stretch under your right shoulder blade area. 4) Hold for 20-30 seconds.",
158,Shoulder GH Abduction,Shoulder abductors strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,To strengthen your left side: 1) Stand perpendicular to a wall with your left side against it. 2) Have your elbow bent to 90 degrees. 3) Gently push your left arm into the wall with even pressure from your wrist to your elbow (pushing away from your body). 4) Hold for 3-5 seconds. 5) Repeat 5 times.,
159,Shoulder GH Adduction,Shoulder adductors strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,To strengthen the right shoulder: 1) Stand in a doorframe facing into the wall of the doorframe so that your right shoulder is directly in front of the wall. 2) Bend your elbow to 90 degrees and place your forearm onto the wall directly in front of you. 3) Push your forearm into the wall (in towards your body) with equal pressure from your wrist to your elbow and hold for 3-5 seconds. 4) Repeat 5 times.,
160,Shoulder GH Internal Rotation,Shoulder rotators (inward) strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,"To strengthen the right shoulder: 1) Stand in a doorframe facing into the wall of the doorframe so that your right shoulder is directly in front of the wall. 2) Bend your elbow to 90 degrees and place your forearm onto the wall directly in front of you. 3) Push your wrist into the wall (in towards your body, it should feel like your shoulder is rotating inwards and hold for 3-5 seconds. 4) Repeat 5 times.",
161,Shoulder GH External Rotation,Shoulder rotators (outward) strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,"To strengthen your left side: 1) Stand perpendicular to a wall with your left side against it. 2) Have your elbow bent to 90 degrees. 3) Gently push your left wrist into the wall (pushing away from your body), it should feel like your shoulder is rotating outwards. 4) Hold for 3-5 seconds. 5) Repeat 5 times.",
162,Shoulder GH Flexion,Shoulder flexors strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,To strengthen the right shoulder: 1) Stand just slightly towards the back of a doorway so that you are close to the right side and the front of your right shoulder is contacting the wall in front. 2) Push your arm up forward into the wall and hold for 3-5 seconds. 3) Repeat 5 times.,
163,Shoulder GH Extension,Shoulder extensors strength,Strength,B,"Shoulder weakness, post operation",,45 seconds,To strengthen the left shoulder: 1) Stand just slightly towards the front of a doorway so that you are close to the left side and the back of your left shoulder is contacting the wall behind. 2) Push your arm up back into the wall and hold for 3-5 seconds. 3) Repeat 5 times.,
