Number,Exercise Name Technical,Exercise Name Translated,Type of exercise,Level,Purpose,Equipment,Stopwatch,Description,Related
51,Rhomboid Stretch,Upper back stretch,Stretch,B,Upper back tightness / strain,Nil,60 seconds,1) Stand with your feet slightly apart and knees slightly bent. 2) Bend forward and cross both your hands behind your knees. 3) Grab hold tightly using your knees as an anchor and pull your back up towards the ceiling (imagine a string pulling your mid back up). 4) You should feel your shoulder blades spreading apart and a stretch between them. 5) Hold the stretch for 10-15 seconds. 6) Stand back up and do a few shoulder rolls back and forth. 7) Repeat 3-4 times.,
52,Rhomboid Strengthening,Upper back strengthening,Strength,B,"Postural strain, rounded shoulders, desk work",Swiss Ball ,45 seconds,"1) Sitting, draw shoulders down away from ears, elbows bent at 90 degrees. 2) Squeeze shoulder blades together firmly (pain free). Hold for 5-10 seconds and repeat 3 times.",
53,Rhomboid Strengthening,Upper back strengthening,Strength / Resistance Band,B,"Postural strain, rounded shoulders, desk work",Resistance Band,90 seconds,1) Sitting on the floor with legs out straight. 2) Wrap a length of resistance band around your feet so that it is firm when you have your elbows at 90 degrees. 3) Draw your shoulder blades down the back of your ribcage (away from ears) and firmly pull on the resistance band by squeezing your shoulder blades together. 4) Hold for 2 seconds and release. 5) Repeat 10-15 times 6) Do 2-3 sets.,
54,,,,,,,30 seconds,"To stretch the left side: 1) Standing perpendicular to a door frame with your right side closest, take a step away and bring your left arm up above and over your head to hold onto the door frame (your right hand can be at hip height holding onto the door frame for support). 2) Push your hips away from the door frame so you are creating a banana shape in your body and you should feel a stretch up the left side. 3) Hold 20-30 seconds and repeat twice each side.",
55,Quadratus lumborum,Lower back stretch,Stretch,I,"Lower back pain / stiffness, rib pain",Nil,30 seconds,"To stretch your left side: 1) Sit on the ground with your right leg out straight and your left leg bent in. 2) Twist your upper body so you are completely facing your bent left knee, hold onto the left knee with your right hand. 3) Reach your left arm up over your head towards your straight leg remembering to keep your body facing the bent knee. 4) You should feel a deep stretch in the left side of your lower back. 5) Hold the stretch for 20-30 seconds and with every breath as you breathe out try to reach a little further and increase the stretch. 6) Repeat the above steps for the other side.",
56,Serratus anterior,Upper ribcage muscle stretch,Stretch,B,Upper back tightness / strain,Nil,30 seconds,Seated or standing: 1)Squeeze shoulder blades together and try to hold for 5-10 seconds (make sure shoulder blades are drawn down back of ribcage). Repeat 2-3 times.,
57,Breathing exercise,Breathing exercise,Mobilisation,B,"Ribcage stiffness, to improve ribcage expansion",Nil,60 seconds,"Relax your mouth, have it closed - you will be breathing through your nose. 1) Lying or sitting in a comfortable position place your hands on each side of your ribcage with your fingers pointing towards each other. 2) Take a breath in trying to push your hands apart (breathing not only into the front of your chest but into the sides and into the back of your ribcage). 3) As you breathe out your fingers should come closer together. 4) Repeat this breathing for 10-15 breaths.",
58*,Thoracic cobra,Upper back cobra / extension,Mobilisation,I,Upper back stiffness,Nil,60 seconds,"Lying on the floor face down: 1) Head facing the floor at all times and hands at shoulder height. 2) Try to activate core* and slightly lift belly off the floor, draw shoulders down the back of the ribcage. 3) Try to relax muscles of legs and buttocks 4) Breathe in and as you breathe out float the chest away from the floor in a small movement (all the movement is coming from the upper back). 5) Elbows and hands stay in contact with the floor and try not to push through your hands as you come up and breathe out, focus on lifting with the muscles in your back. 6) Repeat 6-8 times. (The lower back is not involved in this movement, therefore no pain should be felt in the lower back).   (*See 'related exercises)","401, 402"
59,Spinal twist seated,Spinal twist seated,Mobilisation / Swiss Ball,B,Upper back stiffness,Swiss Ball ,60 seconds,"1) Start by sitting on a Swiss ball 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Bring your hands into a prayer position with thumbs gently resting on your sternum (in line with chin and nose). 4) Take a breath in and as you breathe out rotate to the right as far as comfortable keeping your nose in line with your thumbs and pelvis stable (the Swiss ball or head should not move, all the movement is in your upper back). 5) Breathe in as you return to the centre and breathe out as you repeat to the left. 6) Repeat 6-8 times both sides. (*See related exercises)","401, 402"
60,Spinal twist standing,Spinal twist standing,Mobilisation,B,Upper back stiffness,Nil,60 seconds,"1) Start by standing with feet hip width apart. 2) Activate your core* and find neutral spine*, draw your shoulders down the back of your ribcage. 3) Bring your hands into a prayer position with thumbs gently resting on your sternum (in line with chin and nose). 4) Take a breath in and as you breathe out rotate to the right as far as comfortable keeping your nose in line with your thumbs and pelvis stable (your head and pelvis should not move, all the movement is in the upper back). 5) Breathe in as you return to the centre and breathe out as you repeat to the left. 6) Repeat 6-8 times both sides.  (*See related exercises)","401, 402"
